submission_id,student_id,skill_id,correct,timestamp,response_time_ms,quirk_notes
7fcc232c-c922-48aa-9820-e65489f2a27c,student_001_improving,skill_arithmetic_01,0,2026-07-19T08:36:40,15189,clean
8223a049-d92a-4886-ab67-451d6807a085,student_001_improving,skill_arithmetic_01,1,2026-07-19T08:37:20,16511,clean
eefe356a-5289-436f-9f75-d43f4239db59,student_001_improving,skill_arithmetic_01,0,2026-07-19T08:38:04,18068,clean
5c54643e-5964-4c4a-8515-56230f45d668,student_001_improving,skill_arithmetic_01,0,2026-07-19T08:38:44,13200,clean
28d38eac-f94c-4bb3-a87f-f389e414bce0,student_001_improving,skill_arithmetic_01,1,2026-07-19T08:39:18,12000,clean
56040537-0164-4f16-978f-318b0d170430,student_001_improving,skill_arithmetic_01,0,,10800,missing_timestamp_device_desync
d9832b7b-2da9-4b37-9da2-4d98b2018e3d,student_001_improving,skill_arithmetic_01,1,2026-07-19T08:40:08,9600,clean
b12ddfb5-6c0c-4f11-81be-d64b306febe6,student_001_improving,skill_arithmetic_01,1,2026-07-19T08:40:41,8400,clean
21d84892-025b-47ae-925e-58d09af6fdfd,student_001_improving,skill_algebra_01,0,2026-07-19T08:56:36,13137,clean
40e311c7-aa20-4c08-88a0-7297938a96f1,student_001_improving,skill_algebra_01,0,2026-07-19T08:57:10,18183,clean
bc50b493-a3f7-47d8-889c-e37fa1072f97,student_001_improving,skill_algebra_01,0,2026-07-19T08:57:44,21753,clean
707cf6fd-d15e-41ad-9613-09e774026e35,student_001_improving,skill_algebra_01,0,2026-07-19T08:58:20,13200,clean
4a3f7746-a850-477d-82a5-1fd5726f14dc,student_001_improving,skill_algebra_01,1,2026-07-19T08:59:02,12000,clean
1465b2c0-d6e3-40d3-b63b-ec5bad376ccb,student_001_improving,skill_algebra_01,1,2026-07-19T08:59:39,10800,clean
c8083382-1fe5-4fe7-b302-f5432a4f0aaa,student_001_improving,skill_algebra_01,1,2026-07-19T09:00:09,9600,clean
c8083382-1fe5-4fe7-b302-f5432a4f0aaa,student_001_improving,skill_algebra_01,1,2026-07-19T09:00:11,9600,duplicate_submission_2G_retry
7cb6a152-a495-49d8-9dd8-52b30b093af7,student_001_improving,skill_algebra_01,1,2026-07-19T09:00:25,8400,clean
c919337a-ec49-426f-bc6f-df9e1337ac83,student_001_improving,skill_geometry_01,1,2026-07-19T08:59:40,16427,clean
a45f7a4e-557d-4c06-aef8-5c975383066a,student_001_improving,skill_geometry_01,0,2026-07-19T09:00:17,18993,clean
a4aab649-86c9-43b1-9e60-b833024508b8,student_001_improving,skill_geometry_01,1,2026-07-19T09:00:54,23316,clean
0b858d59-77da-4007-84f1-42fef3152b9c,student_001_improving,skill_geometry_01,1,2026-07-19T09:01:25,13200,clean
0b858d59-77da-4007-84f1-42fef3152b9c,student_001_improving,skill_geometry_01,1,2026-07-19T09:01:27,13200,duplicate_submission_2G_retry
e762fef8-92ff-47dd-a5ee-dcb552ede0a4,student_001_improving,skill_geometry_01,1,2026-07-19T09:01:56,12000,clean
f6c4ad6f-a91e-4caa-9956-cb5a6654d2b5,student_001_improving,skill_geometry_01,0,2026-07-19T09:02:35,10800,clean
5181f998-8469-4e41-848b-b420fa21e94d,student_001_improving,skill_geometry_01,0,2026-07-19T09:02:49,9600,clean
9bf774a0-fa87-458f-aa53-b21f4d42c0d5,student_001_improving,skill_geometry_01,1,2026-07-19T09:03:25,8400,clean
9a4b104a-6f70-4609-9ed1-b08318ba4b5c,student_001_improving,skill_geometry_01,1,2026-07-19T09:03:45,7200,clean
8dcdc83c-e123-487d-92e4-a69562ff1e9e,student_001_improving,skill_word_problems_01,0,2026-07-19T08:50:31,24915,clean
8aacd389-676d-47bd-85da-116f2a1285fc,student_001_improving,skill_word_problems_01,0,2026-07-19T08:51:18,20648,clean
58ae7cd6-8317-45fb-bbfa-7cfe32171ed4,student_001_improving,skill_word_problems_01,0,2026-07-19T08:52:09,22534,clean
472b5812-5868-4e9b-8a40-122b00e9d6dd,student_001_improving,skill_word_problems_01,0,2026-07-19T08:52:34,13200,clean
ec0915fa-61d0-4e78-94d3-678709d3eba0,student_001_improving,skill_word_problems_01,0,2026-07-19T08:53:08,12000,clean
02adfa1b-9437-4b20-8ae1-f2ab3069c4e3,student_001_improving,skill_word_problems_01,1,2026-07-19T08:53:30,10800,clean
0c0b12f9-0d73-4366-b0ac-fa68c97500f7,student_001_improving,skill_word_problems_01,1,2026-07-19T08:53:47,9600,clean
f5581b74-c5d7-4d38-8d21-87f298839406,student_001_improving,skill_word_problems_01,1,2026-07-19T08:54:02,8400,clean
382ac536-0e85-4e10-bc4a-11586573df91,student_001_improving,skill_word_problems_01,1,2026-07-19T08:54:23,7200,clean
50dc4746-df88-4387-9221-c39dd925e314,student_001_improving,skill_word_problems_01,1,2026-07-19T08:54:45,6000,clean
76770588-5dff-4de5-852e-35429f3c903b,student_002_plateaued,skill_arithmetic_01,0,2026-07-19T08:47:36,25757,clean
021e9ec1-a192-46a4-a3dc-2b406b706f31,student_002_plateaued,skill_arithmetic_01,0,2026-07-19T08:48:37,42104,clean
